"Name", Height (Inches), Height(Feet-Inches), Weight
"Jeff Adrien", 79, 6-7, 243
"Arron Afflalo", 77, 6-5, 215
"Maurice Ager", 77, 6-5, 202
"Alexis Ajinca", 84, 7-0, 220
"Solomon Alabi", 85, 7-1, 251
"Cole Aldrich", 83, 6-11, 245
"LaMarcus Aldridge", 83, 6-11, 240
"Malik Allen", 82, 6-10, 255
"Ray Allen", 77, 6-5, 205
"Tony Allen", 76, 6-4, 213
"Al-Farouq Aminu", 81, 6-9, 215
"Louis Amundson", 81, 6-9, 225
"Chris Andersen", 82, 6-10, 230
"David Andersen", 83, 6-11, 245
"James Anderson", 78, 6-6, 215
"Ryan Anderson", 82, 6-10, 240
"Carmelo Anthony", 80, 6-8, 230
"Joel Anthony", 81, 6-9, 245
"Gilbert Arenas", 75, 6-3, 191
"Trevor Ariza", 80, 6-8, 200
"Hilton Armstrong", 83, 6-11, 235
"Carlos Arroyo", 74, 6-2, 202
"Darrell Arthur", 81, 6-9, 225
"Omer Asik", 84, 7-0, 255
"D.J. Augustin", 72, 6-0, 180
"Luke Babbitt", 81, 6-9, 225
"Renaldo Balkman", 80, 6-8, 208
"Marcus Banks", 74, 6-2, 200
"Leandro Barbosa", 75, 6-3, 176
"Jose Barea", 72, 6-0, 175
"Andrea Bargnani", 84, 7-0, 225
"Matt Barnes", 79, 6-7, 235
"Earl Barron", 84, 7-0, 245
"Brandon Bass", 80, 6-8, 240
"Tony Battie", 83, 6-11, 230
"Shane Battier", 80, 6-8, 220
"Nicolas Batum", 80, 6-8, 200
"Jerryd Bayless", 75, 6-3, 200
"Michael Beasley", 81, 6-9, 235
"Rodrigue Beaubois", 72, 6-0, 170
"Marco Belinelli", 77, 6-5, 192
"Charlie Bell", 75, 6-3, 200
"Raja Bell", 77, 6-5, 204
"Mike Bibby", 73, 6-1, 190
"Andris Biedrins", 83, 6-11, 240
"Chauncey Billups", 75, 6-3, 202
"DeJuan Blair", 79, 6-7, 265
"Steve Blake", 75, 6-3, 172
"Andray Blatche", 83, 6-11, 235
"Eric Bledsoe", 73, 6-1, 190
"Keith Bogans", 77, 6-5, 215
"Andrew Bogut", 84, 7-0, 245
"Matt Bonner", 82, 6-10, 240
"Trevor Booker", 79, 6-7, 240
"Carlos Boozer", 81, 6-9, 258
"Chris Bosh", 82, 6-10, 228
"Earl Boykins", 65, 5-5, 135
"Craig Brackins", 82, 6-10, 230
"Avery Bradley", 74, 6-2, 180
"Elton Brand", 80, 6-8, 275
"Corey Brewer", 81, 6-9, 185
"Ronnie Brewer", 79, 6-7, 220
"Jon Brockman", 79, 6-7, 255
"Aaron Brooks", 72, 6-0, 161
"Derrick Brown", 79, 6-7, 225
"Kwame Brown", 83, 6-11, 270
"Shannon Brown", 76, 6-4, 205
"Kobe Bryant", 78, 6-6, 200
"Chase Budinger", 79, 6-7, 218
"Caron Butler", 79, 6-7, 217
"Rasual Butler", 79, 6-7, 205
"Andrew Bynum", 84, 7-0, 285
"Will Bynum", 72, 6-0, 185
"Jose Calderon", 75, 6-3, 210
"Marcus Camby", 83, 6-11, 220
"Derrick Caracter", 81, 6-9, 275
"Brian Cardinal", 80, 6-8, 245
"Rodney Carney", 79, 6-7, 205
"DeMarre Carroll", 80, 6-8, 212
"Matt Carroll", 78, 6-6, 212
"Anthony Carter", 73, 6-1, 190
"Vince Carter", 78, 6-6, 215
"Omri Casspi", 81, 6-9, 225
"Mario Chalmers", 73, 6-1, 190
"Tyson Chandler", 85, 7-1, 235
"Wilson Chandler", 80, 6-8, 220
"Josh Childress", 80, 6-8, 210
"Earl Clark", 82, 6-10, 225
"Jarron Collins", 83, 6-11, 255
"Jason Collins", 84, 7-0, 255
"Sherron Collins", 71, 5-11, 205
"Darren Collison", 72, 6-0, 160
"Nick Collison", 81, 6-9, 255
"Mike Conley", 73, 6-1, 180
"Brian Cook", 81, 6-9, 234
"Daequan Cook", 77, 6-5, 205
"Marcus Cousin", 83, 6-11, 245
"DeMarcus Cousins", 83, 6-11, 270
"Jamal Crawford", 78, 6-6, 185
"Jordan Crawford", 76, 6-4, 195
"Dante Cunningham", 80, 6-8, 230
"Stephen Curry", 75, 6-3, 185
"Samuel Dalembert", 83, 6-11, 250
"Erick Dampier", 83, 6-11, 265
"Antonio Daniels", 76, 6-4, 195
"Marquis Daniels", 78, 6-6, 200
"Baron Davis", 75, 6-3, 209
"Ed Davis", 82, 6-10, 225
"Glen Davis", 81, 6-9, 289
"Austin Daye", 83, 6-11, 200
"Carlos Delfino", 78, 6-6, 230
"Luol Deng", 80, 6-8, 220
"DeMar DeRozan", 79, 6-7, 220
"Boris Diaw", 80, 6-8, 215
"Ike Diogu", 80, 6-8, 250
"DeSagana Diop", 84, 7-0, 300
"Keyon Dooling", 75, 6-3, 196
"Joey Dorsey", 80, 6-8, 268
"Toney Douglas", 74, 6-2, 190
"Chris Douglas-Roberts", 79, 6-7, 200
"Zabian Dowdell", 75, 6-3, 191
"Goran Dragic", 76, 6-4, 180
"Jared Dudley", 79, 6-7, 225
"Chris Duhon", 73, 6-1, 185
"Tim Duncan", 83, 6-11, 248
"Mike Dunleavy", 81, 6-9, 220
"Ronald Dupree", 79, 6-7, 209
"Kevin Durant", 81, 6-9, 215
"Devin Ebanks", 81, 6-9, 215
"Wayne Ellington", 76, 6-4, 200
"Monta Ellis", 75, 6-3, 175
"Francisco Elson", 84, 7-0, 235
"Melvin Ely", 82, 6-10, 260
"Semih Erden", 84, 7-0, 240
"Jeremy Evans", 81, 6-9, 196
"Maurice Evans", 77, 6-5, 220
"Reggie Evans", 80, 6-8, 245
"Tyreke Evans", 78, 6-6, 220
"Patrick Ewing", 80, 6-8, 235
"Christian Eyenga", 77, 6-5, 210
"Jordan Farmar", 74, 6-2, 180
"Derrick Favors", 82, 6-10, 246
"Raymond Felton", 73, 6-1, 198
"Rudy Fernandez", 78, 6-6, 185
"Kyrylo Fesenko", 85, 7-1, 288
"Landry Fields", 79, 6-7, 210
"Derek Fisher", 73, 6-1, 200
"Jonny Flynn", 72, 6-0, 185
"Gary Forbes", 79, 6-7, 220
"T.J. Ford", 72, 6-0, 165
"Jeff Foster", 83, 6-11, 236
"Randy Foye", 76, 6-4, 210
"Channing Frye", 83, 6-11, 248
"Dan Gadzuric", 83, 6-11, 240
"Sundiata Gaines", 73, 6-1, 185
"Danilo Gallinari", 82, 6-10, 225
"Francisco Garcia", 79, 6-7, 195
"Kevin Garnett", 83, 6-11, 220
"Marc Gasol", 85, 7-1, 265
"Pau Gasol", 84, 7-0, 227
"Rudy Gay", 80, 6-8, 230
"Alonzo Gee", 78, 6-6, 220
"Paul George", 81, 6-9, 220
"Daniel Gibson", 74, 6-2, 190
"Taj Gibson", 81, 6-9, 225
"Manu Ginobili", 78, 6-6, 210
"Ryan Gomes", 79, 6-7, 250
"Drew Gooden", 82, 6-10, 230
"Ben Gordon", 75, 6-3, 200
"Eric Gordon", 76, 6-4, 215
"Marcin Gortat", 83, 6-11, 240
"Joey Graham", 79, 6-7, 225
"Stephen Graham", 78, 6-6, 215
"Danny Granger", 80, 6-8, 225
"Aaron Gray", 84, 7-0, 270
"Danny Green", 78, 6-6, 210
"Jeff Green", 81, 6-9, 235
"Willie Green", 76, 6-4, 200
"Donte Greene", 83, 6-11, 226
"Orien Greene", 76, 6-4, 208
"Blake Griffin", 82, 6-10, 251
"Hamed Haddadi", 86, 7-2, 254
"Richard Hamilton", 78, 6-6, 185
"Tyler Hansbrough", 81, 6-9, 250
"Luke Harangody", 80, 6-8, 246
"James Harden", 77, 6-5, 220
"Al Harrington", 81, 6-9, 230
"Devin Harris", 75, 6-3, 185
"Manny Harris", 77, 6-5, 185
"Mike Harris", 78, 6-6, 240
"Udonis Haslem", 80, 6-8, 230
"Spencer Hawes", 84, 7-0, 245
"Chuck Hayes", 78, 6-6, 240
"Gordon Hayward", 80, 6-8, 207
"Lazar Hayward", 78, 6-6, 225
"Brendan Haywood", 84, 7-0, 268
"Luther Head", 75, 6-3, 185
"Gerald Henderson", 77, 6-5, 215
"Xavier Henry", 78, 6-6, 220
"Roy Hibbert", 86, 7-2, 278
"J.J. Hickson", 81, 6-9, 242
"Nene", 83, 6-11, 260
"George Hill", 74, 6-2, 180
"Grant Hill", 80, 6-8, 225
"Jordan Hill", 82, 6-10, 235
"Kirk Hinrich", 75, 6-3, 190
"Jrue Holiday", 75, 6-3, 180
"Ryan Hollins", 84, 7-0, 230
"Al Horford", 82, 6-10, 245
"Eddie House", 73, 6-1, 180
"Dwight Howard", 83, 6-11, 240
"Josh Howard", 79, 6-7, 210
"Juwan Howard", 81, 6-9, 240
"Lester Hudson", 75, 6-3, 190
"Kris Humphries", 81, 6-9, 235
"Serge Ibaka", 82, 6-10, 220
"Andre Iguodala", 78, 6-6, 207
"Zydrunas Ilgauskas", 87, 7-3, 238
"Didier Ilunga-Mbenga", 84, 7-0, 245
"Ersan Ilyasova", 81, 6-9, 235
"Royal Ivey", 75, 6-3, 200
"Jarrett Jack", 75, 6-3, 202
"Darnell Jackson", 81, 6-9, 253
"Stephen Jackson", 80, 6-8, 218
"Damion James", 79, 6-7, 225
"LeBron James", 80, 6-8, 240
"Antawn Jamison", 80, 6-8, 223
"Othyus Jeffers", 77, 6-5, 200
"Al Jefferson", 82, 6-10, 265
"Richard Jefferson", 79, 6-7, 222
"Jared Jeffries", 83, 6-11, 230
"Brandon Jennings", 73, 6-1, 169
"Eugene Jeter", 71, 5-11, 175
"Yi Jianlian", 84, 7-0, 238
"Amir Johnson", 81, 6-9, 210
"Armon Johnson", 75, 6-3, 195
"Chris Johnson", 83, 6-11, 210
"James Johnson", 81, 6-9, 245
"Joe Johnson", 80, 6-8, 225
"Trey Johnson", 77, 6-5, 218
"Wesley Johnson", 79, 6-7, 205
"Dahntay Jones", 78, 6-6, 210
"Dominique Jones", 76, 6-4, 215
"James Jones", 80, 6-8, 225
"Solomon Jones", 82, 6-10, 230
"DeAndre Jordan", 83, 6-11, 250
"Chris Kaman", 84, 7-0, 268
"Jason Kapono", 80, 6-8, 213
"Jason Kidd", 76, 6-4, 205
"Andrei Kirilenko", 81, 6-9, 220
"Linas Kleiza", 80, 6-8, 245
"Kyle Korver", 79, 6-7, 210
"Kosta Koufos", 84, 7-0, 265
"Nenad Krstic", 84, 7-0, 240
"Carl Landry", 81, 6-9, 248
"Acie Law", 75, 6-3, 195
"Gani Lawal", 81, 6-9, 234
"Ty Lawson", 71, 5-11, 195
"Courtney Lee", 77, 6-5, 200
"David Lee", 81, 6-9, 249
"Rashard Lewis", 82, 6-10, 215
"Jeremy Lin", 75, 6-3, 200
"Shaun Livingston", 79, 6-7, 182
"Brook Lopez", 84, 7-0, 260
"Robin Lopez", 84, 7-0, 255
"Kevin Love", 82, 6-10, 260
"Kyle Lowry", 72, 6-0, 175
"John Lucas", 71, 5-11, 165
"Corey Maggette", 78, 6-6, 218
"Jamaal Magloire", 83, 6-11, 259
"Ian Mahinmi", 83, 6-11, 230
"Shawn Marion", 79, 6-7, 220
"Sean Marks", 82, 6-10, 250
"Cartier Martin", 79, 6-7, 220
"Kenyon Martin", 81, 6-9, 234
