"Name", Height (Inches), Height(Feet-Inches), Weight
"Arron Afflalo", 77, 6-5, 215
"Alexis Ajinca", 84, 7-0, 220
"LaMarcus Aldridge", 83, 6-11, 240
"Joe Alexander", 80, 6-8, 230
"Malik Allen", 82, 6-10, 255
"Ray Allen", 77, 6-5, 205
"Tony Allen", 76, 6-4, 213
"Rafer Alston", 74, 6-2, 171
"Louis Amundson", 81, 6-9, 225
"Chris Andersen", 82, 6-10, 230
"David Andersen", 83, 6-11, 245
"Antonio Anderson", 78, 6-6, 215
"Ryan Anderson", 82, 6-10, 240
"Carmelo Anthony", 80, 6-8, 230
"Joel Anthony", 81, 6-9, 245
"Gilbert Arenas", 75, 6-3, 191
"Trevor Ariza", 80, 6-8, 200
"Hilton Armstrong", 83, 6-11, 235
"Carlos Arroyo", 74, 6-2, 202
"Darrell Arthur", 81, 6-9, 225
"Chucky Atkins", 71, 5-11, 160
"D.J. Augustin", 72, 6-0, 180
"Jeff Ayres", 81, 6-9, 240
"Kelenna Azubuike", 77, 6-5, 220
"Renaldo Balkman", 80, 6-8, 208
"Marcus Banks", 74, 6-2, 200
"Leandro Barbosa", 75, 6-3, 176
"Jose Barea", 72, 6-0, 175
"Andrea Bargnani", 84, 7-0, 225
"Matt Barnes", 79, 6-7, 235
"Earl Barron", 84, 7-0, 245
"Brandon Bass", 80, 6-8, 240
"Tony Battie", 83, 6-11, 230
"Shane Battier", 80, 6-8, 220
"Nicolas Batum", 80, 6-8, 200
"Jerryd Bayless", 75, 6-3, 200
"Michael Beasley", 81, 6-9, 235
"Rodrigue Beaubois", 72, 6-0, 170
"Marco Belinelli", 77, 6-5, 192
"Charlie Bell", 75, 6-3, 200
"Raja Bell", 77, 6-5, 204
"Jonathan Bender", 83, 6-11, 202
"Mike Bibby", 73, 6-1, 190
"Andris Biedrins", 83, 6-11, 240
"Chauncey Billups", 75, 6-3, 202
"DeJuan Blair", 79, 6-7, 265
"Steve Blake", 75, 6-3, 172
"Andray Blatche", 83, 6-11, 235
"Keith Bogans", 77, 6-5, 215
"Andrew Bogut", 84, 7-0, 245
"Matt Bonner", 82, 6-10, 240
"Josh Boone", 82, 6-10, 237
"Carlos Boozer", 81, 6-9, 258
"Chris Bosh", 82, 6-10, 228
"Ryan Bowen", 79, 6-7, 215
"Earl Boykins", 65, 5-5, 135
"Elton Brand", 80, 6-8, 275
"Corey Brewer", 81, 6-9, 185
"Ronnie Brewer", 79, 6-7, 220
"Primoz Brezec", 86, 7-2, 252
"Jon Brockman", 79, 6-7, 255
"Aaron Brooks", 72, 6-0, 161
"Bobby Brown", 74, 6-2, 175
"Derrick Brown", 79, 6-7, 225
"Devin Brown", 77, 6-5, 220
"Kwame Brown", 83, 6-11, 270
"Shannon Brown", 76, 6-4, 205
"Kobe Bryant", 78, 6-6, 200
"Chase Budinger", 79, 6-7, 218
"Caron Butler", 79, 6-7, 217
"Rasual Butler", 79, 6-7, 205
"Andrew Bynum", 84, 7-0, 285
"Will Bynum", 72, 6-0, 185
"Jose Calderon", 75, 6-3, 210
"Marcus Camby", 83, 6-11, 220
"Brian Cardinal", 80, 6-8, 245
"Rodney Carney", 79, 6-7, 205
"DeMarre Carroll", 80, 6-8, 212
"Matt Carroll", 78, 6-6, 212
"Anthony Carter", 73, 6-1, 190
"Vince Carter", 78, 6-6, 215
"Omri Casspi", 81, 6-9, 225
"Mario Chalmers", 73, 6-1, 190
"Tyson Chandler", 85, 7-1, 235
"Wilson Chandler", 80, 6-8, 220
"Earl Clark", 82, 6-10, 225
"Jarron Collins", 83, 6-11, 255
"Jason Collins", 84, 7-0, 255
"Mardy Collins", 78, 6-6, 220
"Darren Collison", 72, 6-0, 160
"Nick Collison", 81, 6-9, 255
"Mike Conley", 73, 6-1, 180
"Will Conroy", 74, 6-2, 195
"Brian Cook", 81, 6-9, 234
"Daequan Cook", 77, 6-5, 205
"Jamal Crawford", 78, 6-6, 185
"Dante Cunningham", 80, 6-8, 230
"Eddy Curry", 84, 7-0, 295
"JamesOn Curry", 75, 6-3, 190
"Stephen Curry", 75, 6-3, 185
"Samuel Dalembert", 83, 6-11, 250
"Erick Dampier", 83, 6-11, 265
"Marquis Daniels", 78, 6-6, 200
"Baron Davis", 75, 6-3, 209
"Glen Davis", 81, 6-9, 289
"Paul Davis", 83, 6-11, 270
"Ricky Davis", 78, 6-6, 195
"Austin Daye", 83, 6-11, 200
"Carlos Delfino", 78, 6-6, 230
