"Name", Height (Inches), Height(Feet-Inches), Weight
"Travis Mays", 74, 6-2, 190
"Bob McCann", 78, 6-6, 244
"George McCloud", 78, 6-6, 205
"Tim McCormick", 83, 6-11, 240
"Rodney McCray", 79, 6-7, 220
"Xavier McDaniel", 79, 6-7, 205
"Kevin McHale", 82, 6-10, 210
"Derrick McKey", 81, 6-9, 205
"Carlton McKinney", 76, 6-4, 190
"Nate McMillan", 77, 6-5, 195
"Reggie Miller", 79, 6-7, 185
"Terry Mills", 82, 6-10, 230
"Sam Mitchell", 78, 6-6, 210
"Rodney Monroe", 75, 6-3, 185
"Tracy Moore", 76, 6-4, 200
"Chris Morris", 80, 6-8, 210
"John Morton", 75, 6-3, 180
"Chris Mullin", 78, 6-6, 200
"Eric Murdock", 73, 6-1, 190
"Tod Murphy", 81, 6-9, 220
"Jerrod Mustaf", 82, 6-10, 238
"Dikembe Mutombo", 86, 7-2, 245
"Larry Nance", 82, 6-10, 205
"Ed Nealy", 79, 6-7, 238
"Chuck Nevitt", 89, 7-5, 217
"Johnny Newman", 79, 6-7, 190
"Ken Norman", 80, 6-8, 215
"Charles Oakley", 80, 6-8, 225
"Alan Ogg", 86, 7-2, 240
"Hakeem Olajuwon", 84, 7-0, 255
"Brian Oliver", 76, 6-4, 210
"Jimmy Oliver", 77, 6-5, 205
"Billy Owens", 80, 6-8, 220
"Keith Owens", 79, 6-7, 225
"Robert Pack", 74, 6-2, 180
"Robert Parish", 84, 7-0, 230
"John Paxson", 74, 6-2, 185
"Kenny Payne", 80, 6-8, 195
"Gary Payton", 76, 6-4, 180
"Will Perdue", 84, 7-0, 240
"Sam Perkins", 81, 6-9, 235
"Elliot Perry", 72, 6-0, 150
"Tim Perry", 81, 6-9, 200
"Chuck Person", 80, 6-8, 220
"Jim Petersen", 82, 6-10, 235
"Drazen Petrovic", 77, 6-5, 195
"Bobby Phills", 77, 6-5, 210
"Ricky Pierce", 76, 6-4, 205
"Ed Pinckney", 81, 6-9, 195
"Scottie Pippen", 80, 6-8, 210
"Olden Polynice", 83, 6-11, 220
"Dave Popson", 82, 6-10, 220
"Terry Porter", 75, 6-3, 195
"Paul Pressey", 77, 6-5, 185
"Mark Price", 72, 6-0, 170
"Kevin Pritchard", 75, 6-3, 180
"Brian Quinnett", 80, 6-8, 235
"Kurt Rambis", 80, 6-8, 213
"Mark Randall", 80, 6-8, 235
"Blair Rasmussen", 84, 7-0, 250
"J.R. Reid", 81, 6-9, 247
"Jerry Reynolds", 80, 6-8, 200
"Glen Rice", 79, 6-7, 215
"Pooh Richardson", 73, 6-1, 180
"Mitch Richmond", 77, 6-5, 215
"David Rivers", 72, 6-0, 170
"Doc Rivers", 76, 6-4, 185
"Fred Roberts", 82, 6-10, 218
"Stanley Roberts", 84, 7-0, 285
"Alvin Robertson", 75, 6-3, 185
"Cliff Robinson", 81, 6-9, 220
"Clifford Robinson", 82, 6-10, 225
"David Robinson", 85, 7-1, 235
"Larry Robinson", 75, 6-3, 180
"Rumeal Robinson", 74, 6-2, 195
"Dennis Rodman", 79, 6-7, 210
"Tree Rollins", 85, 7-1, 235
"Donald Royal", 80, 6-8, 210
"Delaney Rudd", 74, 6-2, 180
"Jeff Ruland", 82, 6-10, 240
"John Salley", 83, 6-11, 230
"Ralph Sampson", 88, 7-4, 228
"Jeff Sanders", 80, 6-8, 225
"Mike Sanders", 78, 6-6, 210
"Danny Schayes", 83, 6-11, 235
"Steve Scheffler", 81, 6-9, 250
"Dwayne Schintzius", 85, 7-1, 260
"Detlef Schrempf", 81, 6-9, 214
"Byron Scott", 75, 6-3, 195
"Dennis Scott", 80, 6-8, 229
"Rony Seikaly", 83, 6-11, 230
"Brad Sellers", 84, 7-0, 210
"Charles Shackleford", 82, 6-10, 225
"Brian Shaw", 78, 6-6, 190
"Lionel Simmons", 79, 6-7, 210
"Scott Skiles", 73, 6-1, 180
"Charles Smith", 82, 6-10, 230
"Doug Smith", 82, 6-10, 220
"Kenny Smith", 75, 6-3, 170
"LaBradford Smith", 75, 6-3, 200
"Larry Smith", 80, 6-8, 215
"Otis Smith", 77, 6-5, 210
"Steve Smith", 79, 6-7, 200
"Tony Smith", 75, 6-3, 185
"Rik Smits", 88, 7-4, 250
"Mike Smrek", 84, 7-0, 250
"Rory Sparrow", 74, 6-2, 175
"Felton Spencer", 84, 7-0, 265
"John Starks", 75, 6-3, 180
