"Name", Height (Inches), Height(Feet-Inches), Weight
"Alex Acker", 77, 6-5, 185
"Hassan Adams", 76, 6-4, 220
"Arron Afflalo", 77, 6-5, 215
"Maurice Ager", 77, 6-5, 202
"Blake Ahearn", 74, 6-2, 190
"Alexis Ajinca", 84, 7-0, 220
"LaMarcus Aldridge", 83, 6-11, 240
"Joe Alexander", 80, 6-8, 230
"Malik Allen", 82, 6-10, 255
"Ray Allen", 77, 6-5, 205
"Tony Allen", 76, 6-4, 213
"Morris Almond", 78, 6-6, 225
"Rafer Alston", 74, 6-2, 171
"Louis Amundson", 81, 6-9, 225
"Chris Andersen", 82, 6-10, 230
"Ryan Anderson", 82, 6-10, 240
"Carmelo Anthony", 80, 6-8, 230
"Joel Anthony", 81, 6-9, 245
"Gilbert Arenas", 75, 6-3, 191
"Trevor Ariza", 80, 6-8, 200
"Hilton Armstrong", 83, 6-11, 235
"Darrell Arthur", 81, 6-9, 225
"Chucky Atkins", 71, 5-11, 160
"D.J. Augustin", 72, 6-0, 180
"Kelenna Azubuike", 77, 6-5, 220
"Renaldo Balkman", 80, 6-8, 208
"Marcus Banks", 74, 6-2, 200
"Leandro Barbosa", 75, 6-3, 176
"Jose Barea", 72, 6-0, 175
"Andrea Bargnani", 84, 7-0, 225
"Matt Barnes", 79, 6-7, 235
"Brent Barry", 78, 6-6, 185
"Brandon Bass", 80, 6-8, 240
"Maceo Baston", 81, 6-9, 215
"Tony Battie", 83, 6-11, 230
"Shane Battier", 80, 6-8, 220
"Nicolas Batum", 80, 6-8, 200
"Jerryd Bayless", 75, 6-3, 200
"Michael Beasley", 81, 6-9, 235
"Marco Belinelli", 77, 6-5, 192
"Charlie Bell", 75, 6-3, 200
"Raja Bell", 77, 6-5, 204
"Mike Bibby", 73, 6-1, 190
"Andris Biedrins", 83, 6-11, 240
"Chauncey Billups", 75, 6-3, 202
"Steve Blake", 75, 6-3, 172
"Andray Blatche", 83, 6-11, 235
"Mark Blount", 84, 7-0, 230
"Keith Bogans", 77, 6-5, 215
"Andrew Bogut", 84, 7-0, 245
"Matt Bonner", 82, 6-10, 240
"Josh Boone", 82, 6-10, 237
"Calvin Booth", 83, 6-11, 230
"Carlos Boozer", 81, 6-9, 258
"Chris Bosh", 82, 6-10, 228
"Bruce Bowen", 79, 6-7, 185
"Ryan Bowen", 79, 6-7, 215
"Elton Brand", 80, 6-8, 275
"Corey Brewer", 81, 6-9, 185
"Ronnie Brewer", 79, 6-7, 220
"Aaron Brooks", 72, 6-0, 161
"Andre Brown", 81, 6-9, 245
"Bobby Brown", 74, 6-2, 175
"Dee Brown", 72, 6-0, 185
"Devin Brown", 77, 6-5, 220
"Kwame Brown", 83, 6-11, 270
"Shannon Brown", 76, 6-4, 205
"Kobe Bryant", 78, 6-6, 200
"Greg Buckner", 76, 6-4, 210
"Caron Butler", 79, 6-7, 217
"Rasual Butler", 79, 6-7, 205
"Andrew Bynum", 84, 7-0, 285
"Will Bynum", 72, 6-0, 185
"Jose Calderon", 75, 6-3, 210
"Marcus Camby", 83, 6-11, 220
"Brian Cardinal", 80, 6-8, 245
"Rodney Carney", 79, 6-7, 205
"Matt Carroll", 78, 6-6, 212
"Anthony Carter", 73, 6-1, 190
"Vince Carter", 78, 6-6, 215
"Mario Chalmers", 73, 6-1, 190
"Tyson Chandler", 85, 7-1, 235
"Wilson Chandler", 80, 6-8, 220
"Speedy Claxton", 71, 5-11, 166
"Jarron Collins", 83, 6-11, 255
"Jason Collins", 84, 7-0, 255
"Mardy Collins", 78, 6-6, 220
"Nick Collison", 81, 6-9, 255
"Mike Conley", 73, 6-1, 180
"Brian Cook", 81, 6-9, 234
"Daequan Cook", 77, 6-5, 205
"Jamal Crawford", 78, 6-6, 185
"Joe Crawford", 77, 6-5, 210
"Javaris Crittenton", 77, 6-5, 200
"Austin Croshere", 81, 6-9, 235
"Eddy Curry", 84, 7-0, 295
"Samuel Dalembert", 83, 6-11, 250
"Erick Dampier", 83, 6-11, 265
"Antonio Daniels", 76, 6-4, 195
"Marquis Daniels", 78, 6-6, 200
"Jermareo Davidson", 82, 6-10, 230
"Baron Davis", 75, 6-3, 209
"Glen Davis", 81, 6-9, 289
"Paul Davis", 83, 6-11, 270
"Ricky Davis", 78, 6-6, 195
"Luol Deng", 80, 6-8, 220
"Boris Diaw", 80, 6-8, 215
"Yakhouba Diawara", 79, 6-7, 225
"Travis Diener", 73, 6-1, 175
"Ike Diogu", 80, 6-8, 250
"DeSagana Diop", 84, 7-0, 300
"Juan Dixon", 75, 6-3, 164
"Keyon Dooling", 75, 6-3, 196
"Joey Dorsey", 80, 6-8, 268
"Quincy Douby", 75, 6-3, 175
"Chris Douglas-Roberts", 79, 6-7, 200
"Goran Dragic", 76, 6-4, 180
"Jared Dudley", 79, 6-7, 225
"Chris Duhon", 73, 6-1, 185
"Tim Duncan", 83, 6-11, 248
"Mike Dunleavy", 81, 6-9, 220
"Kevin Durant", 81, 6-9, 215
"Monta Ellis", 75, 6-3, 175
"Francisco Elson", 84, 7-0, 235
"Melvin Ely", 82, 6-10, 260
"Maurice Evans", 77, 6-5, 220
"Reggie Evans", 80, 6-8, 245
"Jordan Farmar", 74, 6-2, 180
"Desmon Farmer", 77, 6-5, 220
"Raymond Felton", 73, 6-1, 198
"Rudy Fernandez", 78, 6-6, 185
"Kyrylo Fesenko", 85, 7-1, 288
"Michael Finley", 79, 6-7, 215
"Derek Fisher", 73, 6-1, 200
"T.J. Ford", 72, 6-0, 165
"Jeff Foster", 83, 6-11, 236
"Randy Foye", 76, 6-4, 210
"Adonal Foyle", 82, 6-10, 250
"Channing Frye", 83, 6-11, 248
"Dan Gadzuric", 83, 6-11, 240
"Danilo Gallinari", 82, 6-10, 225
"Francisco Garcia", 79, 6-7, 195
"Thomas Gardner", 77, 6-5, 225
"Kevin Garnett", 83, 6-11, 220
"Marc Gasol", 85, 7-1, 265
"Pau Gasol", 84, 7-0, 227
"Rudy Gay", 80, 6-8, 230
"Devean George", 80, 6-8, 220
"Daniel Gibson", 74, 6-2, 190
"J.R. Giddens", 77, 6-5, 215
"Eddie Gill", 72, 6-0, 190
"Manu Ginobili", 78, 6-6, 210
"Ryan Gomes", 79, 6-7, 250
"Drew Gooden", 82, 6-10, 230
"Ben Gordon", 75, 6-3, 200
"Eric Gordon", 76, 6-4, 215
"Marcin Gortat", 83, 6-11, 240
"Joey Graham", 79, 6-7, 225
"Stephen Graham", 78, 6-6, 215
"Danny Granger", 80, 6-8, 225
"Aaron Gray", 84, 7-0, 270
"Gerald Green", 80, 6-8, 200
"Jeff Green", 81, 6-9, 235
"Willie Green", 76, 6-4, 200
"Donte Greene", 83, 6-11, 226
"Hamed Haddadi", 86, 7-2, 254
"Malik Hairston", 78, 6-6, 220
"Richard Hamilton", 78, 6-6, 185
"Matt Harpring", 79, 6-7, 231
"Al Harrington", 81, 6-9, 230
"Devin Harris", 75, 6-3, 185
"Jason Hart", 75, 6-3, 185
"Udonis Haslem", 80, 6-8, 230
"Trenton Hassell", 77, 6-5, 200
"Spencer Hawes", 84, 7-0, 245
"Chuck Hayes", 78, 6-6, 240
"Jarvis Hayes", 79, 6-7, 220
"Brendan Haywood", 84, 7-0, 268
"Luther Head", 75, 6-3, 185
"Walter Herrmann", 81, 6-9, 225
"Roy Hibbert", 86, 7-2, 278
"J.J. Hickson", 81, 6-9, 242
"Nene", 83, 6-11, 260
"George Hill", 74, 6-2, 180
"Grant Hill", 80, 6-8, 225
"Steven Hill", 84, 7-0, 248
"Kirk Hinrich", 75, 6-3, 190
"Ryan Hollins", 84, 7-0, 230
"Al Horford", 82, 6-10, 245
"Eddie House", 73, 6-1, 180
"Dwight Howard", 83, 6-11, 240
"Josh Howard", 79, 6-7, 210
"Juwan Howard", 81, 6-9, 240
"Larry Hughes", 77, 6-5, 184
"Kris Humphries", 81, 6-9, 235
"Lindsey Hunter", 74, 6-2, 170
"Othello Hunter", 80, 6-8, 225
"Andre Iguodala", 78, 6-6, 207
"Zydrunas Ilgauskas", 87, 7-3, 238
"Didier Ilunga-Mbenga", 84, 7-0, 245
"Allen Iverson", 72, 6-0, 165
"Royal Ivey", 75, 6-3, 200
"Jarrett Jack", 75, 6-3, 202
"Bobby Jackson", 73, 6-1, 185
"Darnell Jackson", 81, 6-9, 253
"Stephen Jackson", 80, 6-8, 218
"Jerome James", 84, 7-0, 300
"LeBron James", 80, 6-8, 240
"Mike James", 74, 6-2, 188
"Antawn Jamison", 80, 6-8, 223
"Marko Jaric", 79, 6-7, 198
"Nathan Jawai", 82, 6-10, 280
"Al Jefferson", 82, 6-10, 265
"Dontell Jefferson", 77, 6-5, 195
"Richard Jefferson", 79, 6-7, 222
"Jared Jeffries", 83, 6-11, 230
"Yi Jianlian", 84, 7-0, 238
"Amir Johnson", 81, 6-9, 210
"Anthony Johnson", 75, 6-3, 190
"Joe Johnson", 80, 6-8, 225
"Linton Johnson", 80, 6-8, 205
"Trey Johnson", 77, 6-5, 218
"Dahntay Jones", 78, 6-6, 210
"Damon Jones", 75, 6-3, 185
"Dwayne Jones", 83, 6-11, 250
"Fred Jones", 76, 6-4, 210
"James Jones", 80, 6-8, 225
"Solomon Jones", 82, 6-10, 230
"DeAndre Jordan", 83, 6-11, 250
"Chris Kaman", 84, 7-0, 268
"Jason Kapono", 80, 6-8, 213
"Jason Kidd", 76, 6-4, 205
"Tarence Kinsey", 78, 6-6, 185
"Andrei Kirilenko", 81, 6-9, 220
"Linas Kleiza", 80, 6-8, 245
"Brevin Knight", 70, 5-10, 173
"Kyle Korver", 79, 6-7, 210
"Kosta Koufos", 84, 7-0, 265
"Nenad Krstic", 84, 7-0, 240
"Rob Kurz", 81, 6-9, 232
"Carl Landry", 81, 6-9, 248
"Acie Law", 75, 6-3, 195
"Courtney Lee", 77, 6-5, 200
"David Lee", 81, 6-9, 249
"Rashard Lewis", 82, 6-10, 215
"Shaun Livingston", 79, 6-7, 182
"Brook Lopez", 84, 7-0, 260
"Robin Lopez", 84, 7-0, 255
"Kevin Love", 82, 6-10, 260
"Kyle Lowry", 72, 6-0, 175
"Tyronn Lue", 72, 6-0, 175
"Mark Madsen", 81, 6-9, 240
"Corey Maggette", 78, 6-6, 218
"Jamaal Magloire", 83, 6-11, 259
"Stephon Marbury", 74, 6-2, 180
"Shawn Marion", 79, 6-7, 220
"Sean Marks", 82, 6-10, 250
"Donyell Marshall", 81, 6-9, 218
"Cartier Martin", 79, 6-7, 220
"Kenyon Martin", 81, 6-9, 234
"Kevin Martin", 79, 6-7, 185
"Desmond Mason", 79, 6-7, 224
"Roger Mason", 77, 6-5, 200
"Jason Maxiell", 79, 6-7, 260
"Sean May", 81, 6-9, 266
"O.J. Mayo", 76, 6-4, 210
"Luc Mbah a Moute", 80, 6-8, 230
"Rashad McCants", 76, 6-4, 207
"Antonio McDyess", 81, 6-9, 220
"JaVale McGee", 84, 7-0, 237
"Tracy McGrady", 80, 6-8, 210
"Dominic McGuire", 81, 6-9, 220
"Josh McRoberts", 82, 6-10, 240
"Pops Mensah-Bonsu", 81, 6-9, 240
"Chris Mihm", 84, 7-0, 265
"C.J. Miles", 78, 6-6, 210
"Darius Miles", 81, 6-9, 210
"Darko Milicic", 84, 7-0, 250
"Andre Miller", 74, 6-2, 200
"Brad Miller", 83, 6-11, 244
"Mike Miller", 80, 6-8, 218
"Paul Millsap", 80, 6-8, 245
"Yao Ming", 90, 7-6, 310
"Cuttino Mobley", 76, 6-4, 190
"Nazr Mohammed", 82, 6-10, 221
"Jamario Moon", 80, 6-8, 205
"Mikki Moore", 83, 6-11, 225
"Randolph Morris", 82, 6-10, 266
"Adam Morrison", 80, 6-8, 205
"Anthony Morrow", 77, 6-5, 210
"Troy Murphy", 83, 6-11, 245
"Ronald Murray", 76, 6-4, 190
"Dikembe Mutombo", 86, 7-2, 245
"Eduardo Najera", 80, 6-8, 240
"Steve Nash", 75, 6-3, 195
"DeMarcus Nelson", 76, 6-4, 200
"Jameer Nelson", 72, 6-0, 190
"Rasho Nesterovic", 84, 7-0, 248
"Demetris Nichols", 80, 6-8, 216
"Joakim Noah", 83, 6-11, 232
"Andres Nocioni", 79, 6-7, 225
"Steve Novak", 82, 6-10, 220
"Dirk Nowitzki", 84, 7-0, 237
"Patrick O'Bryant", 84, 7-0, 260
"Jermaine O'Neal", 83, 6-11, 226
"Shaquille O'Neal", 85, 7-1, 325
"Fabricio Oberto", 82, 6-10, 245
"Greg Oden", 84, 7-0, 250
"Lamar Odom", 82, 6-10, 220
"Emeka Okafor", 82, 6-10, 252
"Mehmet Okur", 83, 6-11, 249
"Kevin Ollie", 76, 6-4, 195
"Travis Outlaw", 81, 6-9, 210
"Zaza Pachulia", 83, 6-11, 240
