"Name", Height (Inches), Height(Feet-Inches), Weight
"Quincy Acy", 79, 6-7, 233
"Steven Adams", 84, 7-0, 250
"Jeff Adrien", 79, 6-7, 243
"Arron Afflalo", 77, 6-5, 215
"Alexis Ajinca", 84, 7-0, 220
"Cole Aldrich", 83, 6-11, 245
"LaMarcus Aldridge", 83, 6-11, 240
"Lavoy Allen", 81, 6-9, 225
"Ray Allen", 77, 6-5, 205
"Tony Allen", 76, 6-4, 213
"Al-Farouq Aminu", 81, 6-9, 215
"Louis Amundson", 81, 6-9, 225
"Chris Andersen", 82, 6-10, 230
"Alan Anderson", 78, 6-6, 220
"James Anderson", 78, 6-6, 215
"Ryan Anderson", 82, 6-10, 240
"Giannis Antetokounmpo", 81, 6-9, 210
"Carmelo Anthony", 80, 6-8, 230
"Joel Anthony", 81, 6-9, 245
"Pero Antic", 83, 6-11, 260
"Trevor Ariza", 80, 6-8, 200
"Hilton Armstrong", 83, 6-11, 235
"Darrell Arthur", 81, 6-9, 225
"Omer Asik", 84, 7-0, 255
"D.J. Augustin", 72, 6-0, 180
"Gustavo Ayon", 82, 6-10, 250
"Jeff Ayres", 81, 6-9, 240
"Chris Babb", 77, 6-5, 225
"Luke Babbitt", 81, 6-9, 225
"Leandro Barbosa", 75, 6-3, 176
"Jose Barea", 72, 6-0, 175
"Andrea Bargnani", 84, 7-0, 225
"Harrison Barnes", 80, 6-8, 210
"Matt Barnes", 79, 6-7, 235
"Will Barton", 78, 6-6, 174
"Brandon Bass", 80, 6-8, 240
"Shane Battier", 80, 6-8, 220
"Nicolas Batum", 80, 6-8, 200
"Jerryd Bayless", 75, 6-3, 200
"Aron Baynes", 82, 6-10, 260
"Kent Bazemore", 77, 6-5, 201
"Bradley Beal", 75, 6-3, 207
"Michael Beasley", 81, 6-9, 235
"Marco Belinelli", 77, 6-5, 192
"Anthony Bennett", 80, 6-8, 240
"Patrick Beverley", 73, 6-1, 180
"Andris Biedrins", 83, 6-11, 240
"Chauncey Billups", 75, 6-3, 202
"Bismack Biyombo", 81, 6-9, 229
"DeJuan Blair", 79, 6-7, 265
"Steve Blake", 75, 6-3, 172
"Andray Blatche", 83, 6-11, 235
"Eric Bledsoe", 73, 6-1, 190
"Vander Blue", 76, 6-4, 200
"Keith Bogans", 77, 6-5, 215
"Andrew Bogut", 84, 7-0, 245
"Matt Bonner", 82, 6-10, 240
"Trevor Booker", 79, 6-7, 240
"Carlos Boozer", 81, 6-9, 258
"Chris Bosh", 82, 6-10, 228
"Avery Bradley", 74, 6-2, 180
"Elton Brand", 80, 6-8, 275
"Corey Brewer", 81, 6-9, 185
"Ronnie Brewer", 79, 6-7, 220
"Aaron Brooks", 72, 6-0, 161
"MarShon Brooks", 77, 6-5, 200
"Lorenzo Brown", 77, 6-5, 189
"Shannon Brown", 76, 6-4, 205
"Kobe Bryant", 78, 6-6, 200
