"Name", Height (Inches), Height(Feet-Inches), Weight
"Quincy Acy", 79, 6-7, 233
"Jeff Adrien", 79, 6-7, 243
"Arron Afflalo", 77, 6-5, 215
"Josh Akognon", 71, 5-11, 185
"Cole Aldrich", 83, 6-11, 245
"LaMarcus Aldridge", 83, 6-11, 240
"Lavoy Allen", 81, 6-9, 225
"Ray Allen", 77, 6-5, 205
"Tony Allen", 76, 6-4, 213
"Al-Farouq Aminu", 81, 6-9, 215
"Louis Amundson", 81, 6-9, 225
"Chris Andersen", 82, 6-10, 230
"Alan Anderson", 78, 6-6, 220
"James Anderson", 78, 6-6, 215
"Ryan Anderson", 82, 6-10, 240
"Carmelo Anthony", 80, 6-8, 230
"Joel Anthony", 81, 6-9, 245
"Trevor Ariza", 80, 6-8, 200
"Darrell Arthur", 81, 6-9, 225
"Omer Asik", 84, 7-0, 255
"D.J. Augustin", 72, 6-0, 180
"Gustavo Ayon", 82, 6-10, 250
"Jeff Ayres", 81, 6-9, 240
"Luke Babbitt", 81, 6-9, 225
"Leandro Barbosa", 75, 6-3, 176
"Jose Barea", 72, 6-0, 175
"Andrea Bargnani", 84, 7-0, 225
"Harrison Barnes", 80, 6-8, 210
"Matt Barnes", 79, 6-7, 235
"Earl Barron", 84, 7-0, 245
"Will Barton", 78, 6-6, 174
"Brandon Bass", 80, 6-8, 240
"Shane Battier", 80, 6-8, 220
"Nicolas Batum", 80, 6-8, 200
"Jerryd Bayless", 75, 6-3, 200
"Aron Baynes", 82, 6-10, 260
"Kent Bazemore", 77, 6-5, 201
"Bradley Beal", 75, 6-3, 207
"Michael Beasley", 81, 6-9, 235
"Rodrigue Beaubois", 72, 6-0, 170
"Marco Belinelli", 77, 6-5, 192
"Patrick Beverley", 73, 6-1, 180
"Andris Biedrins", 83, 6-11, 240
"Chauncey Billups", 75, 6-3, 202
"Bismack Biyombo", 81, 6-9, 229
"DeJuan Blair", 79, 6-7, 265
"Steve Blake", 75, 6-3, 172
"Andray Blatche", 83, 6-11, 235
